Порядковый индекс,ID_маршрута,Номер_маршрута,ID_остановки,Координаты
1,3449,1,17003,"59.926252249824074,30.2536411"
2,3449,1,16493,"59.926416539291615,30.2550163"
3,3449,1,16493,"59.926416539291615,30.2550163"
4,3449,1,16498,"59.927751361058263,30.2572842"
5,3449,1,16498,"59.927751361058263,30.2572842"
6,3449,1,41504,"59.931652839844347,30.2609558"
7,3449,1,41504,"59.931652839844347,30.2609558"
8,3449,1,16503,"59.932922432665549,30.2627792"
9,3449,1,16503,"59.932922432665549,30.2627792"
10,3449,1,20771,"59.936977275634725,30.2587662"
11,3449,1,20771,"59.936977275634725,30.2587662"
12,3449,1,16206,"59.934763427034085,30.2498188"
13,3449,1,16206,"59.934763427034085,30.2498188"
14,3449,1,16209,"59.93190265574902,30.2408638"
15,3449,1,16209,"59.93190265574902,30.2408638"
16,3449,1,16214,"59.933124331088656,30.2396412"
17,3449,1,16214,"59.933124331088656,30.2396412"
18,3449,1,16219,"59.937497354642019,30.2379417"
19,3449,1,16219,"59.937497354642019,30.2379417"
20,3449,1,16224,"59.937610265454197,30.2347622"
21,3449,1,16224,"59.937610265454197,30.2347622"
22,3449,1,16228,"59.942430856371196,30.2315311"
23,3449,1,16228,"59.942430856371196,30.2315311"
24,3449,1,16230,"59.948967812762177,30.232193"
25,3449,1,16230,"59.948967812762177,30.232193"
26,3449,1,16234,"59.950712151522417,30.2332039"
27,3449,1,16234,"59.950712151522417,30.2332039"
28,3449,1,16239,"59.955007621856993,30.2356949"
29,3449,1,16239,"59.955007621856993,30.2356949"
30,3449,1,15973,"59.956536209862691,30.234993"
31,3449,1,15973,"59.956536209862691,30.234993"
32,3449,1,15987,"59.954761399746005,30.2354107"
33,3449,1,15987,"59.954761399746005,30.2354107"
34,3449,1,15999,"59.951143091663504,30.2333069"
35,3449,1,15999,"59.951143091663504,30.2333069"
36,3449,1,16006,"59.948687341885467,30.2318211"
37,3449,1,16006,"59.948687341885467,30.2318211"
38,3449,1,16009,"59.943043216262318,30.2310734"
39,3449,1,16009,"59.943043216262318,30.2310734"
40,3449,1,16011,"59.938318515416313,30.2332039"
41,3449,1,16011,"59.938318515416313,30.2332039"
42,3449,1,16015,"59.937747126529302,30.2373295"
43,3449,1,16015,"59.937747126529302,30.2373295"
44,3449,1,16019,"59.934061944947416,30.2389698"
45,3449,1,16019,"59.934061944947416,30.2389698"
46,3449,1,16022,"59.931957409668541,30.2400513"
47,3449,1,16022,"59.931957409668541,30.2400513"
48,3449,1,16024,"59.934342539562444,30.2489796"
49,3449,1,16024,"59.934342539562444,30.2489796"
50,3449,1,16027,"59.937032021177465,30.2578106"
51,3449,1,16027,"59.937032021177465,30.2578106"
52,3449,1,16473,"59.933473372921256,30.2626801"
53,3449,1,16473,"59.933473372921256,30.2626801"
54,3449,1,41505,"59.932104560379379,30.2613106"
55,3449,1,41505,"59.932104560379379,30.2613106"
56,3449,1,16477,"59.929767182389718,30.2591381"
57,3449,1,16477,"59.929767182389718,30.2591381"
58,3449,1,16481,"59.927895107891501,30.2573624"
59,3449,1,16481,"59.927895107891501,30.2573624"
60,3449,1,16483,"59.926515797117375,30.2549343"
61,3449,1,16483,"59.926515797117375,30.2549343"
62,3449,1,17003,"59.926252249824074,30.2536411"
63,1108,10,24308,"59.917393104906502,30.4980583"
64,1108,10,16398,"59.917403375763719,30.496191"
65,1108,10,16398,"59.917403375763719,30.496191"
66,1108,10,16400,"59.921340303564129,30.4925327"
67,1108,10,16400,"59.921340303564129,30.4925327"
68,1108,10,16401,"59.923938420082472,30.4900608"
69,1108,10,16401,"59.923938420082472,30.4900608"
70,1108,10,16405,"59.923092942041734,30.4842415"
