,№,Официальное наименование,Координаты,Район,Количество маршрутов
0,3219,"Пр. Солидарности, 19","59.916037323856045,30.4972858",Красногвардейский,5
1,3220,Ул. Передовиков,"59.941753484211333,30.4667587",Красногвардейский,4
2,3221,Ул. Дыбенко,"59.912161401879899,30.4997177",Красногвардейский,5
3,3222,Индустриальный пр,"59.944469731476048,30.4772091",Красногвардейский,4
4,3223,Ул. Осипенко,"59.944863124155063,30.4842777",Красногвардейский,4
5,3224,Пр. Энтузиастов,"59.951098629844694,30.4860306",Красногвардейский,3
6,3225,Товарищеский пр,"59.908877470750021,30.491703",Невский,3
7,3226,"Ул. Руставели, 29","60.006434740156884,30.4359303",Калининский,3
8,3227,Пр. Наставников,"59.944965747564503,30.4896259",Красногвардейский,4
9,3228,Пр. Ударников,"59.9546622264345,30.4823055",Красногвардейский,3
10,3229,Ленская ул,"59.939943669504281,30.4892311",Красногвардейский,1
11,3230,"Ст. метро ""Улица Дыбенко""","59.906901476625777,30.483387",Невский,3
12,3232,"Пр. Науки, 73","60.004693334693151,30.4313679",Калининский,3
13,3233,Хасанская ул,"59.936498248280792,30.4881611",Красногвардейский,1
14,3234,Ул. Карпинского,"60.006602046834196,30.4235611",Калининский,3
15,3236,Торговый центр,"59.905329501302049,30.476738",Невский,3
16,3237,"Пр. Науки, 30","60.008442364422571,30.4165096",Калининский,3
17,3239,Заневская пл,"59.928049121664529,30.4125481",Красногвардейский,6
18,3240,"Конечная станция ""Ул. Кораблестроителей""","59.956536209862691,30.234993",Приморский,2
19,3241,Искровский пр,"59.903644425505604,30.4695263",Невский,3
20,3242,Ул. Софьи Ковалевской,"60.010204056739653,30.409481",Калининский,3
21,3243,Дальневосточный пр,"59.901301617079064,30.4593887",Невский,3
22,3244,Таллинская ул,"59.925002938717661,30.4158707",Красногвардейский,6
23,3245,"Ст. метро ""Академическая""","60.013013693479387,30.3981571",Калининский,3
24,3246,"Пр. Науки, 10","60.014870722062774,30.3903713",Калининский,3
25,3247,Ул. Евдокима Огнева,"59.897071127687596,30.4607239",Невский,3
26,3248,Рижская ул,"59.922733521774219,30.4189243",Красногвардейский,6
27,3249,Ул. Обручевых,"60.016372654174496,30.3816891",Калининский,3
28,3250,Ул. Крыленко,"59.894248218059275,30.4619446",Невский,3
29,3251,Светлановский пр,"60.018045180083696,30.3674488",Калининский,3
30,3252,"Парк ""Сосновка""","60.02537940151359,30.3661537",Калининский,3
31,3253,Уральская ул,"59.954761399746005,30.2354107",Приморский,2
32,3254,Ул. Тельмана,"59.889773551901676,30.4636307",Невский,3
33,3256,Ул. Академика Байкова,"60.029637895268692,30.3653145",Калининский,3
34,3257,Пр. Луначарского,"60.035782398394254,30.3659592",Калининский,3
35,3259,Ул. Руднева,"60.03746417586725,30.3596306",Калининский,3
36,3260,Пр. Художников,"60.039913345677959,30.3475819",Выборгский,3
37,3261,Пр. Косыгина,"59.945020479919648,30.4891682",Красногвардейский,4
38,3262,Народная ул,"59.882299584280517,30.4693756",Невский,3
39,3263,Ул. Есенина,"60.042532869467635,30.3341198",Выборгский,3
40,3265,"Универсам ""Гаванский""","59.951143091663504,30.2333069",Василеостровский,2
41,3266,"Ст. метро ""Ломоносовская""","59.879252629219692,30.4467602",Невский,3
42,3267,Пр. Энгельса,"60.043730004519418,30.3292198",Выборгский,3
43,3268,"Ст. метро ""Новочеркасская""","59.928257894748675,30.4125271",Красногвардейский,6
44,3270,Парк им. Бабушкина,"59.88376298308566,30.444212",Невский,2
45,3272,"Ст. метро ""Приморская""","59.948687341885467,30.2318211",Василеостровский,2
46,3274,"Ст. метро ""Ладожская""","59.932149047675075,30.4402409",Красногвардейский,4
