№,Вид транспортного средства,Тип объекта,Наименование остановки,Официальное наименование,Расположение,Маршруты,Координаты
1,Автобус,Остановка,10 КМ,10 КМ,Таллинское ш,"145, 145Б, 147, 165, 245, 458, 458Б, 481, 482, 482В, 484","59.773371824760758,30.1251106"
2,Автобус,Остановка,12-13 ЛИНИИ В.О,12-13 ЛИНИИ В.О,"Средний пр., 12-13-я линии","249, 6","59.941120573475885,30.2717571"
3,Автобус,Остановка,"БОЛЬШОЙ ПР. В.О., УГОЛ 16-17-Й ЛИНИЙ В.О","БОЛЬШОЙ ПР. В.О., УГОЛ 16-17-Й ЛИНИЙ В.О","Большой пр. В.О., Большой ВО Проспект","1, 128, 151, 262, 42, 7","59.935553859802589,30.2711468"
4,Автобус,Остановка,МУЗЕЙ ГОРОДСКОГО НАЗЕМНОГО ТРАНСПОРТА,МУЗЕЙ ГОРОДСКОГО НАЗЕМНОГО ТРАНСПОРТА,"Средний пр., 18-19-я линии","249, 6","59.938797516478004,30.2641411"
5,Автобус,Остановка,"1-Я И КАДЕТСКАЯ ЛИНИИ В.О., УГОЛ СРЕДНЕГО ПР. В.О","1-Я И КАДЕТСКАЯ ЛИНИИ В.О., УГОЛ СРЕДНЕГО ПР. В.О","1-я и Кадетская линии, Репина ул","24, 6","59.944538147929435,30.2870083"
6,Автобус,Остановка,1-Я КРАСНОАРМЕЙСКАЯ УЛ,1-Я КРАСНОАРМЕЙСКАЯ УЛ. [71],"ул. 1-я Красноармейская, Советский пер","290, 71","59.915965424829771,30.3104362"
7,Автобус,Остановка,"ШУШАРСКАЯ ДОРОГА, ПО ТРЕБОВАНИЮ","ШУШАРСКАЯ ДОРОГА, ПО ТРЕБОВАНИЮ",Петербургское шоссе,"187, 232, 299","59.768516359278351,30.346138"
8,Автобус,Остановка,21 КМ,21 КМ [485],,485,"59.88336543849676,30.6802368"
9,Автобус,Остановка,22-23-Я ЛИНИИ В.О,22-23-Я ЛИНИИ В.О,"Средний пр., 22-23-я линии","249, 6","59.937346806294457,30.2591171"
10,Автобус,Остановка,"25 КМ, ПО ТРЕБОВАНИЮ","25 КМ, ПО ТРЕБОВАНИЮ",A-122,"435, 497, 84, Я=555","60.123920899134639,30.2300968"
